Subject,Date,Condition,Game,Request,Calls,Intercepted,Location,Season,Enjoy_Game,Finish,Game_Freq,Enjoy_Type,Interested,Distressed,Excited,Upset,Strong,Gulty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,Gender,Purpose,Pos_Affect,Neg_Affect,Purpose_Qual
128,10/3/2014,2,2,1,0,1,2,3,4,2,2,3,4,4,3,1,4,1,1,3,4,4,3,1,1,2,1,1,1,1,3,1,2,1,27,17,to see how people behive while playing games
129,10/6/2014,1,1,1,0,1,2,3,4,1,2,3,4,2,4,1,1,1,1,1,1,1,1,3,1,1,1,1,3,2,1,1,1,1,20,12,emotional response to video games
130,10/6/2014,6,3,2,5,1,2,3,1,2,1,1,1,3,1,2,1,1,1,1,1,1,4,2,1,1,1,2,3,3,3,1,1,1,16,18,To evaluate my emotions while playing the video game.
131,10/6/2014,5,2,2,5,1,2,3,3,1,5,4,3,2,3,4,3,3,2,4,1,1,2,3,2,1,2,1,2,1,1,2,2,2,19,24, 
132,10/6/2014,4,1,2,0,1,2,3,2,2,4,3,4,3,3,1,3,1,1,1,3,2,1,4,1,1,1,2,4,2,2,1,2,1,28,13,to show how video games can cause a change in emotions
133,10/7/2014,3,3,1,20,1,2,3,5,2,2,5,4,3,1,1,2,1,1,1,2,3,1,2,1,2,1,4,3,2,3,1,2,2,26,13, 
134,10/8/2014,2,2,1,0,1,2,3,4,1,5,2,4,2,4,1,2,1,1,1,1,2,1,3,1,1,2,1,2,2,2,1,2,1,22,13,The purpose of this study was to see if playing a violent game would affect my mood
135,10/8/2014,1,1,1,0,1,2,3,4,2,5,3,3,1,2,1,2,1,1,1,2,3,1,3,1,1,1,2,3,1,2,1,2,2,23,10, 
136,10/8/2014,6,3,2,0,1,2,3,4,2,2,4,4,2,4,1,4,1,1,1,3,2,4,4,1,4,2,5,5,3,3,1,2,1,38,17,To see how my emotions were during the game play and see if i enjoyed it
137,10/8/2014,5,2,2,10,1,2,3,4,2,1,2,4,1,3,2,3,1,1,1,3,5,2,5,1,1,1,5,5,2,3,1,1,2,37,13, 
138,10/9/2014,4,1,2,0,1,2,3,3,1,2,3,2,3,2,1,2,1,1,1,1,1,3,1,1,1,2,2,2,1,2,1,1,1,16,15,To understand how video games make people feel and how video games affect our emotions in general.
139,10/10/2014,3,3,1, ,0,2,3,4,2,4,4,3,1,3,1,3,1,1,1,3,2,1,3,1,1,1,2,3,1,2,1,2,2,25,10, 
140,10/10/2014,2,2,1,0,1,2,3,4,1,5,5,4,1,2,1,2,1,1,1,3,2,1,2,1,1,1,2,4,1,2,1,2,2,24,10, 
